id,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,best_accuracy,best_epoch,warmup_epochs,interval_epochs,measure,heuristic,model,dataset
3sb5bbvw,18.06,21.87,27.1,31.48,33.37,41.44,44.33,48.34,50.57,53.15,56.12,58.54,60.16,61.08,61.84,65.17,66.22,67.22,68.35,69.82,70.19,71.24,72.23,71.86,73.1,74.38,74.84,74.8,75.66,75.94,75.77,75.84,76.29,77.37,76.59,77.51,77.75,78.33,78.67,78.45,78.89,78.25,78.86,79.19,78.93,78.35,79.41,79.46,79.65,80.14,80.23,79.54,80.26,79.85,80.14,80.73,80.48,79.9,81.1,79.86,80.58,80.92,80.21,80.28,80.21,80.41,81.43,81.73,81.1,80.99,80.69,81.03,81.6,81.17,81.36,80.89,81.91,81.01,81.26,80.96,81.65,81.09,82.24,82.01,81.45,81.38,81.8,82.14,81.61,81.98,82.01,81.8,81.9,81.63,81.74,82.1,81.53,82.14,82.17,81.96,82.24,83,40,15,variance,roundrobin,resnet34,cifar10
16z2e8ne,26.59,32.53,36.11,40.17,42.29,45.98,47.8,50.04,51.38,54.13,54.46,57.84,59.16,59.96,60.88,62.7,64.31,64.11,67.61,67.4,68.25,69.67,69.99,70.87,71.15,71.81,72.63,71.93,73.37,73.51,74.89,74.78,75.32,75.65,76.09,75.86,76.75,76.69,77.16,76.91,77.45,77.71,77.28,78.0,78.83,77.04,78.2,78.31,78.83,78.7,78.88,79.05,78.77,78.67,78.35,79.77,79.38,79.06,80.35,79.69,80.72,80.55,79.7,80.97,80.19,80.3,80.35,80.59,79.94,81.42,80.55,81.59,80.48,81.29,80.84,81.52,81.24,82.08,81.86,81.25,81.83,81.28,80.95,81.61,81.26,81.47,81.04,81.91,82.31,81.69,82.28,81.19,82.4,82.21,81.46,81.78,82.21,82.42,82.77,82.2,82.77,99,40,15,variance,roundrobin,resnet34,cifar10
9izrttwp,17.77,24.04,23.56,28.79,31.97,37.2,37.9,42.1,45.36,48.61,49.91,51.94,54.39,56.76,57.84,61.55,62.22,64.57,66.05,66.41,67.85,69.74,70.1,69.7,70.91,72.73,73.28,72.73,73.39,74.84,75.12,74.3,75.27,75.08,76.03,75.01,75.3,76.45,77.65,77.0,77.0,77.8,76.99,72.81,76.28,77.5,77.84,78.34,78.8,77.53,77.91,78.74,79.11,78.98,79.27,79.68,80.2,80.26,79.95,80.22,80.35,80.2,79.82,80.03,79.93,80.01,79.91,80.34,79.77,80.32,80.08,80.62,80.91,80.86,80.63,80.67,80.66,81.49,80.93,80.83,80.85,80.84,80.95,81.05,81.86,81.15,81.2,81.17,81.15,81.1,81.85,81.37,80.92,81.4,81.79,81.44,81.58,81.26,81.99,81.97,81.99,99,40,15,variance,roundrobin,resnet34,cifar10
2832g76u,19.41,27.69,33.79,35.47,39.98,45.24,47.26,50.1,52.66,54.28,58.19,60.16,62.06,63.11,63.84,66.46,67.57,68.0,69.29,69.5,70.52,71.82,71.64,72.15,73.3,73.61,74.09,74.16,75.5,75.16,75.25,76.1,76.69,76.61,76.21,76.97,77.71,78.2,78.31,78.03,78.35,78.75,78.66,78.66,79.44,79.37,79.41,78.8,79.34,79.51,79.72,79.54,80.16,79.89,79.96,80.41,80.09,80.29,80.35,80.68,81.0,79.91,81.14,80.97,81.32,80.45,80.59,80.97,81.21,80.91,81.15,80.97,81.57,81.0,80.79,81.13,81.31,82.43,81.61,82.33,81.91,81.81,82.33,81.67,81.61,82.06,81.95,82.35,82.35,82.31,82.13,82.2,82.34,81.74,82.41,82.16,82.52,82.53,82.06,82.04,82.53,98,40,15,variance,roundrobin,resnet34,cifar10
1lpvl5zs,15.05,23.01,30.04,34.95,39.59,43.78,45.28,47.76,50.77,53.07,54.87,56.18,59.23,61.55,62.45,64.04,65.4,66.22,68.08,68.01,70.33,71.17,71.49,72.63,73.26,74.44,74.23,74.34,74.82,75.38,75.61,76.1,76.11,76.86,76.71,76.52,77.05,77.94,77.96,77.64,78.63,78.3,77.91,79.35,78.57,79.15,78.49,79.89,79.52,78.95,79.94,79.6,80.48,79.71,80.37,80.16,79.89,80.7,81.63,81.02,80.45,80.78,81.27,81.06,81.04,81.31,81.62,80.92,81.25,81.55,80.68,79.41,81.56,81.31,80.87,81.88,81.99,81.65,81.86,80.98,81.73,81.79,82.33,81.94,81.86,81.74,82.35,81.91,81.67,82.3,81.5,82.3,82.34,82.27,81.85,82.62,81.93,81.85,82.1,82.67,82.67,100,40,15,variance,roundrobin,resnet34,cifar10
ebgbjhuk,21.9,28.21,33.42,38.63,39.02,46.43,48.92,51.27,53.44,56.97,59.27,62.06,63.57,64.36,65.92,67.82,68.34,68.99,70.14,71.35,71.86,72.74,73.1,74.05,74.45,74.9,76.22,75.65,77.06,76.07,76.65,76.67,77.34,77.66,77.79,78.7,78.15,78.53,79.03,78.88,78.77,79.44,78.64,78.89,79.15,79.02,80.23,79.8,80.3,79.5,80.14,80.45,80.21,80.46,80.17,80.59,80.71,81.16,80.51,80.81,80.71,81.29,81.46,81.07,81.19,81.32,81.43,81.62,81.16,81.28,81.64,81.66,82.29,81.95,81.3,81.85,81.58,81.09,82.69,82.16,81.82,82.01,81.96,80.33,82.15,82.51,81.63,82.25,82.4,82.22,81.66,82.28,83.03,82.06,82.44,82.8,83.0,82.68,82.76,82.33,83.03,93,40,15,variance,roundrobin,resnet34,cifar10
2zztys4d,21.23,28.56,34.98,37.46,41.07,45.49,46.68,49.71,52.9,55.29,57.44,60.21,62.25,62.91,64.82,67.25,65.22,68.63,70.13,69.82,71.26,72.57,73.15,73.4,73.8,74.7,75.23,75.48,75.77,75.96,76.7,77.16,76.83,77.42,77.95,78.58,78.61,79.12,78.98,79.31,78.94,79.45,78.63,79.77,79.13,79.49,79.61,80.39,80.23,79.86,79.99,80.98,80.51,79.51,80.79,81.15,80.73,80.62,79.88,81.44,81.55,80.99,80.89,80.55,81.56,80.83,81.11,81.35,81.11,82.42,80.92,81.97,81.79,81.82,81.28,81.8,82.1,82.12,81.35,82.29,82.14,81.3,82.02,82.13,81.8,82.18,81.9,82.3,82.23,82.45,82.15,82.53,82.18,82.56,82.26,82.66,82.41,82.45,82.1,82.42,82.66,96,40,15,variance,roundrobin,resnet34,cifar10
1ou7kr7k,15.78,24.58,32.03,36.14,39.91,40.93,46.6,49.86,51.27,53.81,56.08,59.2,61.26,63.05,64.55,66.28,66.83,68.0,69.44,69.83,70.92,72.14,72.96,72.7,73.86,74.34,74.95,74.09,75.68,75.43,75.92,77.05,76.34,77.42,77.26,77.7,77.74,78.27,78.85,78.5,77.08,78.58,79.09,78.34,79.75,79.32,79.21,79.09,79.51,79.41,80.4,79.84,80.32,80.55,80.74,80.6,80.24,79.88,79.78,80.54,81.29,81.44,80.79,80.68,81.31,81.67,80.88,80.94,81.37,80.18,81.43,80.95,81.89,81.24,81.54,81.26,81.76,81.49,81.01,81.25,80.66,81.64,82.25,81.98,82.38,81.08,81.63,82.08,81.89,82.46,82.41,82.69,82.6,81.64,82.5,82.56,81.67,82.09,82.31,81.87,82.69,92,40,15,variance,roundrobin,resnet34,cifar10
26p87h7l,13.55,17.85,28.38,34.52,35.48,42.29,44.87,48.02,50.71,53.51,57.04,57.59,61.06,62.75,65.05,66.73,67.6,68.31,69.68,70.55,72.33,73.2,73.53,73.67,74.52,74.46,75.55,75.17,76.06,76.63,76.73,77.13,77.29,77.95,77.62,77.4,78.29,78.75,78.83,78.62,78.34,79.59,79.89,79.51,79.75,78.55,79.39,79.2,80.21,79.66,80.19,80.5,80.6,80.57,80.64,80.59,80.61,80.44,81.18,80.96,80.75,81.65,80.86,80.35,81.1,81.63,80.93,80.92,82.01,81.9,81.88,81.03,82.04,81.54,81.58,81.82,81.96,81.73,81.47,82.35,81.52,82.32,82.68,81.83,81.78,82.31,81.98,81.97,82.59,82.53,81.69,82.36,82.3,82.77,82.63,81.75,82.53,82.31,82.54,82.29,82.77,94,40,15,variance,roundrobin,resnet34,cifar10
1rfub3yx,15.71,25.89,33.74,39.82,44.24,49.19,51.37,54.13,57.3,60.32,61.31,64.44,67.51,66.81,68.72,69.72,70.61,70.81,72.99,73.22,72.52,74.72,75.78,75.38,75.61,76.33,76.68,76.95,77.47,77.96,78.0,78.7,78.48,78.48,78.77,78.57,79.42,79.05,79.42,79.79,79.06,79.97,79.87,80.58,80.32,79.96,81.17,81.08,80.54,81.47,80.76,81.02,80.82,81.53,81.17,81.51,81.59,80.94,81.26,81.41,81.32,80.62,81.83,81.54,81.9,81.58,81.82,81.08,82.02,81.87,82.62,82.39,81.94,82.29,81.98,82.41,81.94,82.38,82.47,82.2,81.98,82.27,81.92,82.82,82.49,82.65,82.42,82.13,82.91,82.34,82.12,82.62,82.14,82.63,83.11,82.47,83.03,83.14,82.24,83.11,83.14,98,40,15,variance,roundrobin,resnet34,cifar10
